step,time_s,tip_x,tip_y,tip_z,des_x,des_y,des_z,err_x,err_y,err_z,err_norm,q_platform_x,q_platform_y,q_platform_psi,solver_status,fail_reason,fallback_applied,hold_active,u_a_1,u_a_2,u_a_3,u_a_4,u_a_5,u_a_6,u_a_7,u_a_8,u_a_9,u_a_10,u_a_11,u_a_12,u_a_13,u_a_14,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,cable_force_1,cable_force_2,cable_force_3,cable_force_4,cable_force_5,cable_force_6,cable_force_7,cable_force_8,cable_length_1,cable_length_2,cable_length_3,cable_length_4,cable_length_5,cable_length_6,cable_length_7,cable_length_8,arm_torque_1,arm_torque_2,arm_torque_3,arm_torque_4,arm_torque_5,arm_torque_6
1.0,0.0,0.057021164387191264,0.010002371411802225,0.24858416458402482,0.05702116438719139,0.010002371411802463,0.24858416458402444,1.249000902703301e-16,2.3765711620882257e-16,-3.885780586188048e-16,4.723069394728281e-16,-2.1968387758494882e-18,5.1000505964409524e-20,4.156707148478315e-18,min_task,none,false,false,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,2.073564292072696e-15,-3.313529154518867e-14,-8.363079298052082e-16,-1.881621165774564e-16,1.2955960422100785e-15,-6.164207810760031e-18,0.0,-6.428432399757374e-17,0.0,-2.0469680235663737e-14,-1.674351508494452e-13,-2.299887257921962e-13,-2.4679099464202682e-14,9.732223044449413e-14,-1.5024353660199816e-17,-2.1968387758494882e-18,5.1000505964409524e-20,4.156707148478315e-18,7.33441312021563e-19,0.58,0.92,-8.00704860315717e-18,2.3806532736642853e-17,2.714616468699326e-18,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,6.999999999999999,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,1.2020815280171306,2.073564292072696e-15,-3.313529154518867e-14,-8.363079298052082e-16,-1.881621165774564e-16,1.2955960422100785e-15,-6.164207810760031e-18
2.0,0.02,0.057071446063436254,0.01000261598723312,0.24858308379676022,0.05703358345919139,0.010002371411802463,0.24858416458402444,-3.78626042448621e-05,-2.4457543065618814e-07,1.0807872642126792e-06,3.787881622298688e-05,-7.38020533094627e-06,-1.8481247052275092e-07,1.5810424787335267e-05,min_task,none,false,false,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.007920183741346282,-0.13060447140593137,0.0362592709726343,-0.0014590152416324145,0.00044705647421618605,-7.596759498251546e-05,8.11835442777437e-17,-1.4679080818353197e-16,-2.833264187099015e-22,0.007424365720965177,-0.40250062050023505,-0.10904782933817532,-0.0004253982217431572,0.0017761422741379238,1.2362716570198556e-06,-7.38020533094627e-06,-1.8481247052275092e-07,1.5810424787335267e-05,2.326320699242696e-05,0.5798899893231977,0.9199650476858082,-6.798896886504572e-06,2.0780152410268107e-06,5.355626810309065e-06,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.202086877348673,1.202086877348673,1.2020764401640651,1.2020764401640651,1.2020761787695076,1.2020761787695076,1.202086615956385,1.202086615956385,0.007920183741346282,-0.13060447140593137,0.0362592709726343,-0.0014590152416324145,0.00044705647421618605,-7.596759498251546e-05
3.0,0.04,0.05725310706087616,0.010003362888875095,0.24857978007968257,0.05711751869119139,0.010002371411802463,0.24858416458402444,-0.00013558836968477483,-9.914770726319327e-07,4.384504341869988e-06,0.00013566286484843447,-3.308440276690938e-05,-7.885734511847173e-07,6.532843361140295e-05,min_task,none,false,false,47.447202727221175,47.447202727223,47.43412051126685,47.43412051126747,47.433793124685295,47.4337931246878,47.44687534603839,47.44687534603799,0.013980862854169268,-0.2338016589903329,0.06545418878074392,-0.002616214453102876,0.0007832639922593195,-0.0001373625021814037,0.00545245035606766,0.00013643613232403322,-0.014262011948789823,0.010072378290716973,-0.7174198460250253,-0.18491231454512003,0.0009458348579927664,0.0007602261775459757,-0.0009536086885231614,-3.308440276690938e-05,-7.885734511847173e-07,6.532843361140295e-05,9.795504679317501e-05,0.5794963477435824,0.9198424536590266,-2.9485983958490207e-05,8.754324614695068e-06,2.342166788329278e-05,47.447202727221175,47.447202727223,47.43412051126685,47.43412051126747,47.433793124685295,47.4337931246878,47.44687534603839,47.44687534603799,1.2021054808410467,1.2021054808410467,1.2020586924645336,1.2020586924645336,1.2020575766921473,1.2020575766921473,1.2021043651120886,1.2021043651120886,0.013980862854169268,-0.2338016589903329,0.06545418878074392,-0.002616214453102876,0.0007832639922593195,-0.0001373625021814037
4.0,0.06,0.057630709302574384,0.010004613326517444,0.24857421607173302,0.05733640688319139,0.010002371411802463,0.24858416458402444,-0.00029430241938299684,-2.2419147149808916e-06,9.948512291413358e-06,0.0002944790538104315,-8.42616302738448e-05,-1.8977597763963575e-06,0.00015405490663609287,min_task,none,false,false,26.572571107050297,26.57257110712957,26.537252872326082,26.53725287241869,26.536442047836744,26.536442047022067,26.571759568308906,26.57175956829178,0.018715467841500927,-0.316290856879968,0.08901426085453198,-0.0035388812920518187,0.0010465099149885916,-0.00018705368074466258,0.01468820937198309,0.0003375566958351519,-0.032985907174382115,0.0101700723753772,-0.9680516740812991,-0.24203085836578256,0.003218348656078643,-0.0011368102646404613,-0.002513743567690463,-8.42616302738448e-05,-1.8977597763963575e-06,0.00015405490663609287,0.00023501503998691272,0.5786862797895809,0.91959501898086,-7.22613022367659e-05,2.0873826050262394e-05,5.7928552802054856e-05,26.572571107050297,26.57257110712957,26.537252872326082,26.53725287241869,26.536442047836744,26.536442047022067,26.571759568308906,26.57175956829178,1.2021424578615705,1.2021424578615705,1.20202329412759,1.20202329412759,1.202020606917177,1.202020606917177,1.202139770917531,1.202139770917531,0.018715467841500927,-0.316290856879968,0.08901426085453198,-0.0035388812920518187,0.0010465099149885916,-0.00018705368074466258
5.0,0.08,0.05825565188472805,0.010006228910360123,0.24856689728227807,0.05774520611519139,0.010002371411802463,0.24858416458402444,-0.0005104457695366618,-3.857498557659905e-06,1.726730174636537e-05,0.0005107523114412673,-0.0001653379518038663,-3.5009677235962887e-06,0.0002852306992547415,min_task,none,false,false,18.946812533712496,18.946812533890174,18.8830463033856,18.88304630359354,18.881703677196217,18.88170367536532,18.945468232426315,18.9454682323879,0.02245394185205965,-0.3826791556915791,0.10793970944712689,-0.004272566458828408,0.0012631215807252045,-0.0002271460040414215,0.02652273693609702,0.0005592042084071086,-0.055405458862554866,0.008296492443996646,-1.1704730482817267,-0.2904695450865902,0.005788081963598609,-0.002911312743514209,-0.004392122352860752,-0.0001653379518038663,-3.5009677235962887e-06,0.0002852306992547415,0.0004397518247728841,0.5773569684882734,0.9191946046086507,-0.00013585826661580367,3.843505989464702e-05,0.00010994747763663575,18.946812533712496,18.946812533890174,18.8830463033856,18.88304630359354,18.881703677196217,18.88170367536532,18.945468232426315,18.9454682323879,1.202200936519923,1.202200936519923,1.2019671140794002,1.2019671140794002,1.2019621507112197,1.2019621507112197,1.2021959741170984,1.2021959741170984,0.02245394185205965,-0.3826791556915791,0.10793970944712689,-0.004272566458828408,0.0012631215807252045,-0.0002271460040414215
6.0,0.1,0.05916849909339383,0.01000800180114035,0.2485585424387149,0.05839076438719139,0.010002371411802463,0.24858416458402444,-0.000777734706202439,-5.6303893378861075e-06,2.5622145309545097e-05,0.0007781770163954688,-0.0002787076533687609,-5.516846736201165e-06,0.00045788830851711885,min_task,none,false,false,14.582061070917705,14.582061070918298,14.485745229030117,14.485745229031519,14.483902873202112,14.48390287319116,14.580219447190773,14.580219447190983,0.025452436355702098,-0.43618865187265055,0.12294250726175737,-0.004850446538849776,0.0014491124636846703,-0.00025906038437885245,0.04005989650784295,0.0007665037575783912,-0.0788203099308997,0.005386918628708471,-1.3358438879392274,-0.3371586155182337,0.008160920344284459,-0.0038411055937493956,-0.006347791600218319,-0.0002787076533687609,-5.516846736201165e-06,0.00045788830851711885,0.0007107702405981037,0.5754282172453362,0.9186177697962518,-0.00021836206043093407,6.108262270375084e-05,0.00017845010420520534,14.582061070917705,14.582061070918298,14.485745229030117,14.485745229031519,14.483902873202112,14.48390287319116,14.580219447190773,14.580219447190983,1.20228256237595,1.20228256237595,1.2018884121539553,1.2018884121539553,1.2018805770210794,1.2018805770210794,1.2022747298117211,1.2022747298117211,0.025452436355702098,-0.43618865187265055,0.12294250726175737,-0.004850446538849776,0.0014491124636846703,-0.00025906038437885245
7.0,0.12000000000000001,0.06040063626722331,0.010009701515543118,0.24854988971032455,0.05931218825919139,0.010002371411802463,0.24858416458402444,-0.0010884480080319142,-7.330103740654792e-06,3.427487369989102e-05,0.0010890121962478815,-0.00042525744120128136,-7.819685878424676e-06,0.0006690757174188554,min_task,none,false,false,11.764414915853113,11.76441491585344,11.633054151515527,11.633054151516438,11.630802216209108,11.630802216201797,11.762164237923558,11.762164237923699,0.027887470438564894,-0.4790616173705337,0.13453979066510735,-0.005296826576387498,0.0016142718856231668,-0.00028382842861812376,0.05462788354595143,0.0009360536368235704,-0.10184567908647035,0.00197849003186118,-1.4718314861276633,-0.38663638646540754,0.010019560648480603,-0.0035739830479241228,-0.008189997486189763,-0.00042525744120128136,-7.819685878424676e-06,0.0006690757174188554,0.0010429520299191696,0.5728372451718736,0.9178427790386069,-0.00031591137726163815,8.843920980699224e-05,0.0002607920956425942,11.764414915853113,11.76441491585344,11.633054151515527,11.633054151516438,11.630802216209108,11.630802216201797,11.762164237923558,11.762164237923699,1.2023878867229487,1.2023878867229487,1.2017864859949372,1.2017864859949372,1.2017753534955602,1.2017753534955602,1.2023767597917874,1.2023767597917874,0.027887470438564894,-0.4790616173705337,0.13453979066510735,-0.005296826576387498,0.0016142718856231668,-0.00028382842861812376
8.0,0.14,0.06197546451073447,0.010011106390498297,0.24854159359155864,0.06054121149119139,0.010002371411802463,0.24858416458402444,-0.0014342530195430789,-8.73497869583427e-06,4.2570992465795765e-05,0.0014349112562527268,-0.0006047414698666452,-1.025802974925202e-05,0.0009148501018424094,min_task,none,false,false,9.809573568284538,9.80957356828454,9.641907761462777,9.64190776146278,9.639371319516314,9.639371319516274,9.807039899458967,9.807039899458964,0.029882494065996426,-0.5128664211742311,0.14311876850560484,-0.005630169627887832,0.001763739093439014,-0.0003022163693667071,0.06971372134994966,0.0010524660226621614,-0.12371588860038883,-0.0015953095537714053,-1.583651270384889,-0.4416468778089774,0.011168723432810784,-0.0020238687219123375,-0.00976760157012879,-0.0006047414698666452,-1.025802974925202e-05,0.0009148501018424094,0.0014289713678669984,0.5695350912743501,0.9168476714458969,-0.0004232225219549244,0.00012028218449984445,0.0003530913466941026,9.809573568284538,9.80957356828454,9.641907761462777,9.64190776146278,9.639371319516314,9.639371319516274,9.807039899458967,9.807039899458964,1.2025166440794786,1.2025166440794786,1.2016614181080785,1.2016614181080785,1.2016467677804339,1.2016467677804339,1.2025020041712269,1.2025020041712269,0.029882494065996426,-0.5128664211742311,0.14311876850560484,-0.005630169627887832,0.001763739093439014,-0.0003022163693667071
9.0,0.16,0.0639092897693264,0.01001202371741747,0.24853417739970285,0.06210256368319139,0.010002371411802463,0.24858416458402444,-0.0018067260861350104,-9.652305615006143e-06,4.998718432158711e-05,0.0018074432317284044,-0.0008160536269957112,-1.2669829503842703e-05,0.0011908745245261102,min_task,none,false,false,8.383558322195213,8.383558322195213,8.17928834734874,8.17928834734874,8.176614456883335,8.176614456883332,8.380888750266362,8.380888750266362,0.03152782641667915,-0.5387056351770843,0.1489805692150698,-0.005865126949697516,0.0018990017857174603,-0.00031480416645970124,0.08491886973688488,0.0011065940680294018,-0.14403412312479189,-0.00501193277176284,-1.6747726148026885,-0.5035546020624226,0.011460125331810787,0.0007222458420975608,-0.010950491507272241,-0.0008160536269957112,-1.2669829503842703e-05,0.0011908745245261102,0.0018603020278251693,0.5654841490335762,0.9156091206844825,-0.0005340253963506791,0.0001566166549754732,0.00045055070334032866,8.383558322195213,8.383558322195213,8.17928834734874,8.17928834734874,8.176614456883335,8.176614456883332,8.380888750266362,8.380888750266362,1.202667954437009,1.202667954437009,1.2015138929715397,1.2015138929715397,1.2014957238740276,1.2014957238740276,1.2026498027745436,1.2026498027745436,0.03152782641667915,-0.5387056351770843,0.1489805692150698,-0.005865126949697516,0.0018990017857174603,-0.00031480416645970124
10.0,0.18,0.06621201038233769,0.010012301314270009,0.24852801913142727,0.06401433891519138,0.010002371411802463,0.24858416458402444,-0.002197671467146306,-9.929902467545673e-06,5.614545259716164e-05,0.002198410969841479,-0.0010574260478439046,-1.4894556750947882e-05,0.0014927622972839187,min_task,none,false,false,7.303842858527832,7.303842858527832,7.06343318650198,7.06343318650198,7.060777126345202,7.060777126345202,7.301192877213326,7.301192877213326,0.032882439247014165,-0.5573541006201204,0.15237032852772434,-0.006013401497912716,0.0020194271976977426,-0.0003220649605746853,0.09992778652165793,0.0010948263883993603,-0.16263206663569543,-0.008105500049633688,-1.7474097505560853,-0.5726396246675522,0.010842343009302686,0.004437500297022593,-0.01164172668358029,-0.0010574260478439046,-1.4894556750947882e-05,0.0014927622972839187,0.002327879731995016,0.5606565095849194,0.9141018989538737,-0.000641420533140604,0.00019767316964563843,0.0005477329670795087,7.303842858527832,7.303842858527832,7.06343318650198,7.06343318650198,7.060777126345202,7.060777126345202,7.301192877213326,7.301192877213326,1.2028404711909746,1.2028404711909746,1.201345064170066,1.201345064170066,1.2013235927974528,1.2013235927974528,1.2028190265126861,1.2028190265126861,0.032882439247014165,-0.5573541006201204,0.15237032852772434,-0.006013401497912716,0.0020194271976977426,-0.0003220649605746853
